,rating,title,description,helpful
57,1,Defective product. Don't buy it,  The product is defective. It does not measure the temperature correctly.,0
58,1,Useless product,"  Useless product  , aaj mujhe product receive hua , but ye work hi nahi kar raha",0
59,5,Best use in covid season,  Good accurate,0
60,1,प्रोडक्ट टेंपरेचर सही नहीं बताता,  यह टेंपरेचर सही पूर्वक नहीं बताता कम बता रहा है इसलिए प्लीज प्रोडक्ट आप लोग समझ कर अच्छी क्वालिटी का भेजें टेंपरेचर जब सही नहीं बताता तो प्रोडक्ट कैसे सही मान ले,0
61,5,Reasonable and best.,  Excellent product ..must buy..,0
62,1,Waste product,  Your browser does not support HTML5 video.   Waste product.china pieceBatteries not provided..cheated,0
63,5,Accurate and efficient,"  It's an amazing product available at an affordable price. The accuracy is perfect, user friendly, easy to understand and the quintessential need of the hour.",0
64,5,Good product,  Does the job effectively,0
65,1,Not accurate reading.,  Dislike. Not showing accurate Reading. Used for body temprature.,0
66,5,Nice,  Nice product,0
67,5,Value for money,"  This product is really nice, it's easy to use,fairly accurate and doesn't take much time to detect the temperature.Overall nice product!",0
68,5,Satisfied with the product,"  Satisfied with the product. I was earlier not able to change temperature mode, but then I contacted seller helpline which resolved my issue.",0
69,1,Wrong item delivered,  Oximeter was delivered instead of infrared thermometer. I have later ordered AMKETEE thermometer and I am quite satisfied.,0
70,5,Proudly made in india.,  Make in india product is better than any imported product. I am using dr vaku oxymeter too and these both products are super in quality.,0
71,5,It serves the purpose well,  Easy to use,0
72,4,Worth the money spent,"  Nice product and working fine so far. Only complain I have is why there is no branding on product? This raise eyebrows. Else, satisfactory so far with performance.",0
73,5,Nice one,  Nice product please go for itThank you,0
74,1,Made in China,  Made in china if I had knew it I would have not bought it .,0
75,5,Fast and accurate,  It's great . Accuracy is there and easy to use . It's very fast,0
76,5,Nice Product,  Product is perfectly calibrated and working good. We have 24x7 office working hours and this is been used round the clock. Not faced any issue.,0
77,5,Value for money,  It's good product at low price. Value for money having 12 months warranty. Using this device for 3 weeks working fine.,0
78,4,Good,  Good.,0
79,5,Amazing,  Product came in perfect condition. Very good quality. Great value for money. Definitely recommend.,0
80,3,so far so good,  how good the product is we can share a feedback 6 months down the road,0
81,4,Overall worth for money,  It works very nicely. Easy to use. It would be very helpful if supplied with  procedure for changing Farenheat to Celcius.,0
82,5,Value for money,  Works very fine... Good I bought it and you should too if your looking for infrared thermometers. Value for money,0
83,5,Good Product,"  Good product at this cost, display could have been more better, as readings can been seen by holding in particular angle",0
84,5,"Think of Body temp ,think of Dr  Vaku",  It is Made in India .Asthetic is very good .Body temp of familiy members and guest to home are checked,0
85,5,BEST ONE,  BEST PRODUCT AT BEST PRICE,0
86,3,good product,"  good product good condition but delivery to late no problem,thanks to amazon",0
87,5,Accurate,  Great ProductGood Accuracy,0
88,4,Good product made in india,  I like about its packaging and product but I wanted a more specific instructions about battery indications,0
89,1,Don't buy it,  The product didn't work only 😔,0
90,5,.,"  Your product is very good quality which you have sent to me, I heartly thanks to dr. vaku's team for well corporate with me.",0
91,5,Go for it..,  Working good and almost accurate....In range..,0
92,5,Conversion table at least there in box or a table to show alongside of manual of operation,  Manual of operation not available.E.g. from 'C' to 'F' is there in instrument itself.,0
93,5,Go for it,"  Very good product with good price, Made in India. Easy to handle. Good display. Quick measurements.",0
94,5,Effective and convenient,  Convenient to use. Gives readings in both Celsius and Farenheit.,0
95,5,Good efficient easy to use product,  Good simple and easy to use product. Easy to calibrate between different modes,0
96,4,The product works fine.,  The product works fine but the built quality can be further improved.,0
97,5,Good Product 👍,  Excellent product... Working accurate... Perfect product... Go for it,0
98,1,China made Crap. Do not buy!,  No consistency in readings.,0
99,1,Bad iteam,  Bad iteam plz take returnI am not satisfied very worst productPlz take return this item,0
100,3,Good product,  Best Product and worth spending money.We have got the product before expected delivery time.,0
101,1,Waste of money,  Worst product waste of money. Normal readings were shown for Patients with high temperatures.,0
102,5,Small and Compact,  Till now working fine.. Small and compact!,0
103,5,जय हो,  Nice product bcozThis is indian product and i belive every  indian.जय हो,0
104,5,battery cover is loose,  product is good but the battery cover is loose sometimes fell down kindly look into it,0
105,5,Accurate & easy to use instrument,  Light weight & easy to operate. Works on batteries. Measures temperature accurately.,0
106,3,Good one,  So far good . Will write better feedback if given more time,0
107,5,Accuracy is good.,  Very good product.,0
108,5,Go for it,  Good 5 star,0
109,4,Changes the Mode of temperature checking practice being followed.,  Use for family members. Quick and reasonably accurate. Value for money product.,0
110,5,Value for money.,  We use this product for checking the temperature of students and staff. Very nice product.,0
111,5,Worth the price,  Go fir it . Its worth buying . The product is good and accurate.,0
112,5,Review nd rating,  It's very good product.....I used it and as per according to my I give 🌟🌟🌟🌟🌟 rating,0
113,5,Good product,  Accuracy n value for money,0
114,5,Easy to use,"  It didn’t seem to have any problem as of yet, seems to be working fine",0
115,5,Made in India,"  Support ""atma nirdhar Bharat""Really Best product",0
116,4,Working as promised,  Delivered on time. Working well so far.,0
117,1,Instrument not working,  Battery was not there once fitted with battery. The instrument is not working,0
118,5,good,  good,0
119,5,Good,  LikeWe used for school purposeNiceReadings are in accuracy manner,0
120,5,Good Quality Product,  The quality of product is better than the others available online/ offline,0
121,4,Value for money,  Good product. Necessity of the hour. All instructikns provided within the package.,0
122,5,Nice product,  Working fine. Can get the temperature very fast after pressing the button,0
123,5,Good product,  Very handy and easy to use.,0
124,5,"Good Product, Value for Money",  Excellent product.. Works Perfectly fine.,0
125,5,Ease of use,  Easy to use. Out of the box.  Good product at this price,0
126,5,Nice Product,  Easy to use and good accuracy.Most important Indian product.,0
127,1,fake product,"  returned this made in china , cheap pro duct . dont by anything from this seller",0
128,5,Great product,  Very good product!!,0
129,5,Superb,  Good product,0
130,5,Accurate & Easy to use,  Good product giving accurate temperature reading necessity in covid situations,0
131,5,Good product with accurate readings,"  Used for 4 days, seems accurate. Good product.",0
132,5,Good,"  Value for money, easy to use 👌",0
133,5,Quality Indian brand,  Quality Indian product.,0
134,5,Good Quality,  Good productValue for moneyWorking perfectly,0
135,4,Easy to use product  but slightly over priced,  Easy to use reasonably accurate but a little overpriced,0
136,5,Great... Very helpful in the current situation of Covid,  Great... Very helpful in the current situation of Covid,0
137,4,Easy to use and must have product for this pandemict,"  Easy to use, Accurate and valuable products.",0
138,5,"Nice Product, Value for money","  An easy to use, handy product by Dr. Vaku's at this time of covid-19",0
139,5,Accurate temperature reading,"  Very handy and easy to carry anywhere,accurate temperature reading.",0
140,5,Good decision,  Good one n specialty made in India,0
141,5,Good Product,  Good Product,0
142,5,Must have gadget,  Very handy and useful. Has been worked smoothly.,0
143,5,Excellent Product,  Excellent product. It's value for money.,0
144,5,MADE IN INDIA,  nice Indian product happy to use made in India product.,0
145,5,Very convenient,  It's easy to use and very convenient. It gives accurate reading,0
146,5,Good,  Very good product. Easy to use.,0
147,5,Good quality,  Scans quickly within a second. Quality is good,0
148,5,Nice products at all,  Its good product at all,0
149,5,Go for it,  Excellent product with good indicators,0
150,5,Best products  for me,  I like this product  because  it better than others  products,0
151,5,Value for money,"  Product is very good,it's accurate n value for money",0
152,5,Good product in reasonable price.,  Very good product. Reasonable price.,0
153,4,Useful item .,  Useful item have at home for the pandemic crisis.,0
154,5,Good product,  Good product DR VAKU.....keep inventing swadeshi products,0
155,1,The Faulty Thermometer,  The product is not working at all,0
156,5,Dr. Vaku 's products is a Indian products,  We are using this product last year .It very useful and working good.,0
157,5,Worth buying in Corona!,  It is easy to use! And very accurate!!,0
158,4,Quick and accurate,  Product is good.. easy to use and shows accurate temp,0
159,5,Nice product,  I liked the device it's working well,0
160,4,Nice,  Your browser does not support HTML5 video.   Like it,0
161,5,Value for money,  The product is really good. It's working very well.,0
162,5,Nice product,  Very quick and accurate readings. Totally worth it.,0
163,5,Great display and extremely easy to use,  Good product,0
164,5,Very good product,  Very good product and was to use.,0
165,4,😍,  Too good for us. Measurement is acccurate,0
166,5,Reliable infrared thermometer,  Good product. Easy to use,0
167,4,Very nice product,  Worth for the money and accurate,0
168,5,Good product.... recommend to buy,  Accuracy is good,0
169,4,It's good..,"  It's easy to use, light weight .. It's accurate",0
170,5,Its quite good. The price is also reasonable.,  It is very easy to use.,0
171,4,Very nice looking and good working.,  Very nice product working very good.,0
172,1,Not working,  Make and finish is good but its not working,0
173,5,Support made in india,  It is very nice product to measure tempetur,0
174,5,Good quality product,  I like it,0
175,4,Good thermometer,  Good thermometer gives accurate readings.,0
176,5,easy to use,  Really nice product worth buying,0
177,1,NO POWER,  PRODUCT IS NO POWER AND NON FUNCTIONAL,0
178,5,Good buy,  Nice product!! Simple and easy to use,0
179,5,Good Product,  The Product is good and working fine.,0
180,5,Easy accurate,  Easy to use and accurate in reading.,0
181,5,Must have product,  Good Product,0
182,4,Good,  Good,0
183,4,Nice,  Good product. Easy to use. Accurate,0
184,5,Everyone must buy,  Best product in this tough tyms....,0
185,3,good for use,  good for family use,0
186,5,Recommended,  Easy to use,0
187,5,Easy to use,  Easy to use for children.,0
188,5,Vg,  Very good product,0
189,4,Review,  Good product for the price range,0
190,5,Excellent,  Very good item.,0
191,5,Yes,  Value for moneyPratheesh,0
192,4,Nice product!!,  Nice product!!,0
193,5,Useful,  Amazing product. Go for it...,0
194,5,Good one. 👍,"  Good product, value for money",0
195,5,Accurate reading,"  Easy to use, quality product",0
196,5,Simple,  Nice and easy to use,0
197,5,Easy to use,  Easy to use,0
198,5,Nice product,  Easy to use,0
199,5,Good product.,  Accurate and easy to use.,0
200,5,This item is comfortable and valuable,  Very good performance,0
201,5,Nice,  Nice Product,0
202,5,Good product,  Good product,0
203,5,Very very accurate product from seller,  Good product,0
204,4,Good,  Good product,0
205,5,Good,  Good,0
206,5,it is very important to us.,  i like the product.,0
207,5,"Nice product, worth using.",  Very nice product.,0
208,5,Excellent,  Very user friendly,0
209,5,Very good,  Excellent product,0
210,5,Nice product,  Value for money,0
211,5,Good Product,  Good Product,0
212,4,Good,  Excellent product,0
213,3,Temperature,  Easy to use,0
214,4,Review,  It is good,0
215,5,Accurate,  Accurate,0
216,5,Super,  Like,0
217,4,Good,  Good,0
218,5,Good product,  Accuracy,0
219,1,Not good,  Bought it a month ago and now it stopped working by itself.... Ordered Dr vaku and name written on product is Jo!!!!,0
220,1,Useless,  Not functioning properly. Temperatures coming same. Cheap plastic. No warranty card included in the package.  No value for money. Don't  buy.,0
221,4,"Essential item , easy to operate",  Easy to operate . Essential item.  Contact led email for registration and was received a quick response . Recommend this product,0
222,2,Not an Indian product,"  Thermometer works fine but the product is a Chinese product. However the description says country of origin is India. Also, how is that product a Dr Vaku product?? This is some brand called AIQURA. Why isn't Amazon paying attention?",0
223,5,Indian made works perfect,  Quick reading and accurate. This is made in India..I did my part to support the economy..buy Indian..using it for 4 days..,0
224,5,Review,  Very Nice and Compact. Strongly recommended .,0
225,5,Excellent,  Excellent,0
226,5,Good,  Good,0
227,4,Very easy to use non-contact thermometer,  A must to have health device in every household during this corona time. Shows temperature at just a click away from forehead. Display color changes according to the temp. Accuracy varies sometimes.,0
228,,,,0.0
229,,,,0.0
